,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
94886,-0.7345733,0.75837445,2.428071,0.89284587,-0.6077359,1.6638864,1.679855,-0.28212616,-4.3255944,-0.23790452,2.3184128,1.2388914,2.0009162,2.3963275,3.6533794,-0.22491069
59268,-2.602032,4.3079696,-3.1171653,-5.2513385,1.6902356,1.5906553,-5.6366186,3.3299873,2.5512629,1.9432425,2.2892516,1.7401041,0.6999847,-5.2405577,-2.511341,3.6646748
20998,-2.6906078,-1.0921197,-0.24423401,-0.09481661,-0.20226526,0.052580114,1.9808805,0.6305171,-1.3674598,-4.6671834,-0.22136724,2.718835,0.92872095,2.9421213,1.2363768,0.5920405
23762,6.393893,-0.12375724,-2.9972453,-6.051536,4.060166,-0.7438632,0.0122062415,1.677214,0.46506548,0.34461543,-0.08013416,0.83013225,-0.2218218,-3.1180716,1.5803092,3.8075764
3826,-1.5218874,2.0469348,-0.6765632,-2.262232,-0.33530533,3.8768263,4.82509,0.34835032,-0.15308046,-0.72031426,-0.908054,2.6990855,-1.7186074,0.82661825,-0.30448985,3.1103008
69141,2.4177105,1.0224271,-3.874517,-6.319636,3.7571445,2.0113556,-1.3835402,1.9208094,1.7170768,3.697655,3.7928157,1.5378515,0.9987128,-0.3310803,1.1487689,4.7061095
58774,-0.29208633,0.15892035,-4.806032,-5.2269526,5.273201,-2.807735,0.3936587,2.4960668,-4.69608,4.532332,4.554228,-0.7231252,0.15474974,-4.3168902,-7.7486825,5.6112237
26142,-0.6133011,-4.05296,4.186164,1.1508546,-0.4315936,1.6545516,-1.8934431,-2.0314164,1.1991817,-2.0482483,-2.8646295,-0.59300244,0.2591733,4.227496,1.0874336,-0.05497377
5897,1.0335387,-4.7295175,-3.2977738,-2.3131697,6.4230547,3.7834334,4.041753,3.3199837,-1.5756965,4.388024,4.82047,-2.256305,0.98330295,-0.87441134,-10.243463,5.4790373
66824,-0.53465134,0.19671917,0.5267279,-0.003455788,0.5512485,3.218959,2.8514566,0.03449725,-2.398492,-2.80796,-2.6569247,-0.16568264,-0.45815614,0.9661588,0.19481616,1.4065493
